Name	ReleaseDate	Action	Adventure	Children	Comedy	Crime	Documentary	Drama	Fantasy	Noir	Horror
Nico Icon (1995)	1995	0	0	0	0	0	1	0	0	0	0
"Crossing Guard, The (1995)"	1995	0	0	0	0	0	0	1	0	0	0
"Juror, The (1996)"	1996	0	0	0	0	0	0	1	0	0	0
"White Balloon, The (Badkonake Sefid ) (1995)"	1995	0	0	0	0	0	0	1	0	0	0
Things to Do in Denver when You're Dead (1995)	1995	0	0	0	0	1	0	1	0	0	0
Antonia's Line (Antonia) (1995)	1995	0	0	0	0	0	0	1	0	0	0
Once Upon a Time... When We Were Colored (1995)	1995	0	0	0	0	0	0	1	0	0	0
Last Summer in the Hamptons (1995)	1995	0	0	0	1	0	0	1	0	0	0
Angels and Insects (1995)	1995	0	0	0	0	0	0	1	0	0	0
White Squall (1996)	1996	0	1	0	0	0	0	1	0	0	0
Dunston Checks In (1996)	1996	0	0	1	1	0	0	0	0	0	0
Black Sheep (1996)	1996	0	0	0	1	0	0	0	0	0	0
Nick of Time (1995)	1995	1	0	0	0	0	0	0	0	0	0
"Journey of August King, The (1995)"	1995	0	0	0	0	0	0	1	0	0	0
Mary Reilly (1996)	1996	0	0	0	0	0	0	1	0	0	0
Vampire in Brooklyn (1995)	1995	0	0	0	1	0	0	0	0	0	0
Beautiful Girls (1996)	1996	0	0	0	0	0	0	1	0	0	0
Broken Arrow (1996)	1996	1	0	0	0	0	0	0	0	0	0
In the Bleak Midwinter (1995)	1995	0	0	0	1	0	0	0	0	0	0
"Hate (Haine, La) (1995)"	1995	0	0	0	0	0	0	1	0	0	0
Shopping (1994)	1994	1	0	0	0	0	0	0	0	0	0
Heidi Fleiss: Hollywood Madam (1995)	1995	0	0	0	0	0	1	0	0	0	0
City Hall (1996)	1996	0	0	0	0	0	0	1	0	0	0
Bottle Rocket (1996)	1996	0	0	0	1	0	0	0	0	0	0
